
==========================================================================================
Statistic                     N        Mean       St. Dev.        Min            Max      
------------------------------------------------------------------------------------------
num_sale                    43,419     1.174        0.419          1              5       
Covid                       43,419     0.474        0.499          0              1       
Covid2                      43,419     0.418        0.493          0              1       
Cases                       20,579    306.831      563.335         0            4,021     
BathsFull                   43,419     1.910        0.905          0              17      
BathsHalf                   43,419     0.266        0.464          0              5       
BedsTotal                   43,419     2.719        1.491          0              25      
DOM                         43,419    43.305       58.857          0             946      
livSQFT                     43,419   1,337.832     846.916        120           17,408    
SQFTGarageCarport           43,419    165.536      229.649         0            4,444     
real.list.price             43,419  961,702.700  905,500.700   85,418.510   28,197,546.000
real.close.price            43,419  951,302.100  854,927.100   85,418.510   28,197,546.000
diff.price                  43,419   8,489.208   92,440.630  -2,010,000.000 6,900,000.000 
Basement                    43,419     0.013        0.115          0              1       
Split                       43,419     0.035        0.184          0              1       
PUD                         43,419     0.007        0.085          0              1       
LowRise                     43,419     0.089        0.285          0              1       
HighRise                    43,419     0.294        0.456          0              1       
Townhouse                   43,419     0.158        0.365          0              1       
Condotel                    43,419     0.036        0.187          0              1       
SingleFam                   43,419     0.424        0.494          0              1       
Duplex                      43,419     0.008        0.092          0              1       
MultiDwell                  43,419     0.019        0.136          0              1       
WalkUP                      43,419     0.044        0.204          0              1       
pool                        43,419     0.459        0.498          0              1       
Age                         43,419    37.561       19.753          0             123      
Age2                        43,419     1.801        1.576        0.000          15.129    
Age.r                       43,419     3.161        9.384          0              94      
SqftTotal                   43,419   1,483.001    1,001.289       175           23,350    
par_area                    43,419     2.990        5.855        0.014         128.918    
beach                       43,419     2.078        2.439        0.000          13.552    
park                        43,419     0.424        0.312        0.000          3.560     
hospital                    43,419     4.037        3.933        0.010          20.997    
airport                     43,419     9.081        5.611        0.993          30.986    
elem_sch                    43,419     1.159        4.575        0.016         196.490    
mid_sch                     43,419     2.190        1.590        0.037          17.684    
high_sch                    43,419     2.150        1.517        0.034          17.684    
per_white                   43,419     0.242        0.178        0.000          0.850     
per_black                   43,419     0.020        0.034        0.000          0.261     
per_asian                   43,419     0.435        0.198        0.000          1.000     
per_hawaian                 43,419     0.069        0.100        0.000          0.695     
per_occupied                43,419     0.878        0.166        0.0004         1.000     
