
==========================================================================================
Statistic                     N        Mean       St. Dev.        Min            Max      
------------------------------------------------------------------------------------------
num_sale                    43,419     1.174        0.419          1              5       
Covid                       43,419     0.370        0.483          0              1       
Covid2                      43,419     0.330        0.470          0              1       
Cases                       16,061    296.949      555.559         0            4,021     
BathsFull                   43,419     1.903        0.898          0              17      
BathsHalf                   43,419     0.267        0.464          0              5       
BedsTotal                   43,419     2.713        1.484          0              25      
DOM                         43,419    46.416       60.516          0            1,402     
livSQFT                     43,419   1,334.773     843.449        120           17,408    
SQFTGarageCarport           43,419    163.824      230.345         0            5,000     
real.list.price             43,419  946,930.000  894,159.500   85,418.510   28,197,546.000
real.close.price            43,419  933,946.100  840,772.200   85,418.510   28,197,546.000
diff.price                  43,419  10,682.650   92,486.200  -2,010,000.000 6,900,000.000 
Basement                    43,419     0.013        0.115          0              1       
Split                       43,419     0.036        0.186          0              1       
PUD                         43,419     0.007        0.084          0              1       
LowRise                     43,419     0.090        0.287          0              1       
HighRise                    43,419     0.294        0.456          0              1       
Townhouse                   43,419     0.159        0.366          0              1       
Condotel                    43,419     0.036        0.187          0              1       
SingleFam                   43,419     0.424        0.494          0              1       
Duplex                      43,419     0.009        0.093          0              1       
MultiDwell                  43,419     0.019        0.135          0              1       
WalkUP                      43,419     0.044        0.205          0              1       
pool                        43,419     0.458        0.498          0              1       
Age                         43,419    37.128       19.868          0             123      
Age2                        43,419     1.773        1.570        0.000          15.129    
Age.r                       43,419     3.204        9.588          0              94      
SqftTotal                   43,419   1,479.421     997.708        175           23,350    
par_area                    43,419     2.990        5.855        0.014         128.918    
beach                       43,419     2.078        2.439        0.000          13.552    
park                        43,419     0.424        0.312        0.000          3.560     
hospital                    43,419     4.037        3.933        0.010          20.997    
airport                     43,419     9.081        5.611        0.993          30.986    
elem_sch                    43,419     1.159        4.575        0.016         196.490    
mid_sch                     43,419     2.190        1.590        0.037          17.684    
high_sch                    43,419     2.150        1.517        0.034          17.684    
per_white                   43,419     0.242        0.178        0.000          0.850     
per_black                   43,419     0.020        0.034        0.000          0.261     
per_asian                   43,419     0.435        0.198        0.000          1.000     
per_hawaian                 43,419     0.069        0.100        0.000          0.695     
per_occupied                43,419     0.878        0.166        0.0004         1.000     
