Name,sch_code,sch_type
Aina Haina,100,Elementary
Ala Wai,101,Elementary
Aliiolani,102,Elementary
,103,Elementary-Middle-High
Central,104,Middle
Dole,105,Middle
Farrington,106,High
Fern,107,Elementary
Hahaione,108,Elementary
Hokulani,109,Elementary
Jarrett,110,Middle
Jefferson,111,Elementary
Kaahumanu,112,Elementary
Kaewai,113,Elementary
Kahala,114,Elementary
Kaimuki,115,High
Kaimuki,116,Middle
Kaiulani,117,Elementary
Kalakaua,118,Middle
Kalani,119,High
Kalihi,120,Elementary
Kalihi Kai,121,Elementary
Kalihi Uka,122,Elementary
Kalihi Waena,123,Elementary
Kapalama,124,Elementary
Kauluwela,125,Elementary
Kawananakoa,126,Middle
Koko Head,127,Elementary
Kuhio,128,Elementary
Lanakila,129,Elementary
Liholiho,130,Elementary
Likelike,131,Elementary
Linapuni,133,Elementary
Lincoln,134,Elementary
Lunalilo,135,Elementary
Maemae,136,Elementary
Manoa,137,Elementary
McKinley,138,High
Niu Valley,139,Middle
Noelani,140,Elementary
Nuuanu,141,Elementary
Palolo,142,Elementary
Pauoa,143,Elementary
Puuhale,145,Elementary
Roosevelt,146,High
Royal,147,Elementary
Stevenson,148,Middle
Waialae,149,Elementary
Waikiki,150,Elementary
Washington,152,Middle
Wilson,153,Elementary
Kaiser,154,High
Kamiloiki,155,Elementary
Aiea,200,Elementary
Aiea,201,Middle
Aiea,202,High
Aliamanu,203,Elementary
Aliamanu,204,Middle
Haleiwa,206,Elementary
,207,Elementary
Helemano,208,Elementary
Hickam,209,Elementary
Iliahi,210,Elementary
Kaala,211,Elementary
Kipapa,212,Elementary
Leilehua,214,High
Makalapa,215,Elementary
Mililani,216,High
Moanalua,217,Elementary
Moanalua,218,High
Moanalua,219,Middle
Mokulele,220,Elementary
Nimitz,221,Elementary
Pearl Harbor,222,Elementary
Pearl Harbor Kai,223,Elementary
Radford,224,High
Red Hill,225,Elementary
Solomon,226,Elementary
Scott,227,Elementary
Shafter,228,Elementary
Wahiawa,229,Elementary
Wahiawa,230,Middle
Waialua,231,Elementary
Waialua High and Intermediate,232,Intermediate
Waimalu,233,Elementary
Mililani Waena,234,Elementary
Webling,235,Elementary
Wheeler,236,Elementary
Wheeler,237,Middle
Mililani,238,Middle
Salt Lake,239,Elementary
Mililani Ike,240,Elementary
Mililani Mauka,241,Elementary
Mililani Uka,242,Elementary
Pearl Ridge,243,Elementary
Ahrens,250,Elementary
Barbers Point,251,Elementary
Campbell,252,High
Ewa,253,Elementary
Ewa Beach,254,Elementary
Highlands,255,Middle
Iroquois Point,256,Elementary
Maili,257,Elementary
Makaha,258,Elementary
Makakilo,259,Elementary
Manana,260,Elementary
Nanaikapono,261,Elementary
Nanakuli,262,Elementary
Nanakuli High and Intermediate,263,Intermediate
