"","ParcelNumb","Address","lat","long"
"1","1-9-8-002-016-0003","98-1095 Komo Mai Drive, Aiea, HI 96701",NA,NA
"2","1-8-5-012-040-0000","85-758/85 760 Lihue ST, Waianae, HI 96792",NA,NA
"3","1-8-4-014-011-0000","84-894 Farrington Highway, Waianae, HI 96792",NA,NA
"4","1-4-7-004-020-0018","47-369B Hui Iwa ST, Kaneohe, HI 96744",NA,NA
"5","1-8-4-024-053-0000","84-828 Lahaina ST, Waianae, HI 96792",NA,NA
"6","1-8-4-002-049-0170","84-755 Ala Mahiku ST, Waianae, HI 96792",NA,NA
"7","1-9-1-138-069-0000","91-1005 Kai Loli ST, Ewa Beach, HI 96706",NA,NA
"8","1-2-3-006-014-0087","1177 Queen ST, Honolulu, HI 96814",NA,NA
"9","1-1-1-061-012-0250","3045 Ala Napuaa PL, Honolulu, HI 96818",NA,NA
"10","1-2-3-006-003-0149","1330 Ala Moana Boulevard, Honolulu, HI 96814",NA,NA
"11","1-9-5-076-003-0000","95-1126 Ahoka ST, Mililani, HI 96789",NA,NA
"12","1-9-8-002-029-0059","98-1465 Kaahumanu ST, Aiea, HI 96701",NA,NA
"13","1-9-4-115-031-0018","94-105 Mui PL, Waipahu, HI 96797",NA,NA
"14","1-1-1-060-012-0094","3215 Ala Ilima STs, Honolulu, HI 96818",NA,NA
"15","1-8-4-004-014-0033","84-965 Farrington Highway, Waianae, HI 96792",NA,NA
"16","1-9-4-141-079-0000","94-558 Ahaula ST, Mililani, HI 96789",NA,NA
"17","1-9-8-011-049-0015","98-785 Iho PL, Aiea, HI 96701",NA,NA
"18","1-9-4-156-053-0000","94-1002 Makakoa Loop, Waipahu, HI 96797",NA,NA
"19","1-4-6-002-024-0021","45-315 Lilipuna RD, Kaneohe, HI 96744",NA,NA
"20","1-4-5-086-076-0000","45-668 Halekou RD, Kaneohe, HI 96744",NA,NA
"21","1-9-4-007-012-0184","94-816 Lumiauau ST, Waipahu, HI 96797",NA,NA
"22","1-9-4-129-081-0000","94-573 Kuaie ST, Mililani, HI 96789",NA,NA
"23","1-9-1-016-145-0057","91-1175 Kaiau AVE, Kapolei, HI 96707",NA,NA
"24","1-9-8-039-003-0045","98-1032 Moanalua RD, Aiea, HI 96701",NA,NA
"25","1-9-1-142-095-0000","91-1096 Kai Weke ST, Ewa Beach, HI 96706",NA,NA
"26","1-9-9-012-032-0000","99-167 Uahi PL, Aiea, HI 96701",NA,NA
"27","1-9-5-002-036-0088","95-1123 Wikao ST, Mililani, HI 96789",NA,NA
"28","1-2-4-006-020-0101","1315 Kalakaua AVE, Honolulu, HI 96826",NA,NA
"29","1-9-1-056-004-0050","92-1074 Olani ST, Kapolei, HI 96707",NA,NA
"30","1-9-8-058-042-0000","98-1525 Piki PL, Aiea, HI 96701",NA,NA
"31","1-8-7-008-006-0000","87-2196 Farrington Highway, Waianae, HI 96792",NA,NA
"32","1-9-8-013-030-0005","98-640 Moanalua Loop, Aiea, HI 96701",NA,NA
"33","1-9-1-142-096-0000","91-1100 Kai Weke ST, Ewa Beach, HI 96706",NA,NA
"34","1-4-6-031-027-0188","46-1006 Emepela Way, Kaneohe, HI 96744",NA,NA
"35","1-6-1-003-068-0000","61-1007 Tutu PL, Haleiwa, HI 96712",NA,NA
"36","1-9-1-016-196-0015","91-1015 Kamaaha AVE, Kapolei, HI 96707",NA,NA
"37","1-9-1-132-010-0028","91-2020 Kanela ST, Ewa Beach, HI 96706",NA,NA
"38","1-3-2-001-034-0000","1142-3rd AVE, Honolulu, HI 96816",NA,NA
"39","1-9-4-115-037-0018","94-1364 Kulewa Loop, Waipahu, HI 96797",NA,NA
"40","1-9-4-007-012-0051","94-820 Lumiauau ST, Waipahu, HI 96797",NA,NA
"41","1-9-1-082-087-0000","91-1041 Kaloi ST, Ewa Beach, HI 96706",NA,NA
"42","1-9-2-019-025-0018","92-973 Makakilo Drive, Kapolei, HI 96707",NA,NA
"43","1-9-5-093-022-0028","95-996 Ukuwai ST, Mililani, HI 96789",NA,NA
"44","1-8-7-039-045-0000","87-102 B Kulaaupuni ST, Waianae, HI 96792",NA,NA
"45","1-9-1-039-052-0000","91-690 Kilipoe ST, Ewa Beach, HI 96706",NA,NA
